commit	val_bpb	memory_gb	status	description
baseline-a1b2c3d	1.189370	1.9	keep	Baseline training - scaled for RTX 4070 Super
iter-1	1.190409	1.9	discard	Changed UNEMBEDDING_LR from 0.004 to 0.003
iter-2	1.188540	1.9	keep	Changed MATRIX_LR from 0.04 to 0.03
iter-3	1.188754	1.9	discard	Changed SCALAR_LR from 0.5 to 0.65
iter-4	1.225809	1.9	discard	Changed WEIGHT_DECAY from 0.2 to 0.26
iter-1	1.290728	1.9	discard	Changed UNEMBEDDING_LR from 0.004 to 0.0052
iter-5	1.289279	1.9	discard	Changed WARMUP_RATIO from 0.0 to 0.0
iter-2	1.290804	1.9	discard	Changed MATRIX_LR from 0.04 to 0.052
iter-6	1.291574	1.9	discard	Changed WARMDOWN_RATIO from 0.5 to 0.375
iter-3	1.290072	1.9	discard	Changed SCALAR_LR from 0.5 to 0.65
iter-7	1.291530	1.9	discard	Changed EMBEDDING_LR from 0.6 to 0.78
iter-4	1.292512	1.9	discard	Changed WEIGHT_DECAY from 0.2 to 0.26
iter-8	1.291073	1.9	discard	Changed UNEMBEDDING_LR from 0.004 to 0.003
iter-5	1.291001	1.9	discard	Changed WARMUP_RATIO from 0.0 to 0.0
iter-9	1.292226	1.9	discard	Changed MATRIX_LR from 0.03 to 0.0225
iter-6	1.290226	1.9	discard	Changed WARMDOWN_RATIO from 0.5 to 0.65
iter-10	1.291570	1.9	discard	Changed SCALAR_LR from 0.5 to 0.65
iter-7	1.215134	1.9	discard	Changed EMBEDDING_LR from 0.6 to 0.45
iter-8	1.190841	1.9	discard	Changed UNEMBEDDING_LR from 0.004 to 0.0052
iter-9	1.193210	1.9	discard	Changed MATRIX_LR from 0.04 to 0.052
iter-10	1.189921	1.9	discard	Changed SCALAR_LR from 0.5 to 0.65
r1-agent-1-i1	1.190027	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.0
r1-agent-2-i1	1.189113	1.9	keep	agent-2 changed MATRIX_LR: 0.04 -> 0.037118
r1-agent-3-i1	1.189925	1.9	discard	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.002545
r2-agent-1-i2	1.191835	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.211992
r2-agent-2-i2	1.188497	1.9	keep	agent-2 changed EMBEDDING_LR: 0.6 -> 0.523392
r2-agent-3-i2	1.190089	1.9	discard	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.00259
r3-agent-1-i3	1.189515	1.9	discard	agent-1 changed EMBEDDING_LR: 0.6 -> 0.351117
r3-agent-2-i3	1.189319	1.9	discard	agent-2 changed WARMUP_RATIO: 0.0 -> 0.0
r3-agent-3-i3	1.188301	1.9	keep	agent-3 changed SCALAR_LR: 0.5 -> 0.691154
r4-agent-1-i4	1.189684	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 1.201212
r4-agent-2-i4	1.189755	1.9	discard	agent-2 changed SCALAR_LR: 0.5 -> 0.605218
r4-agent-3-i4	1.188986	1.9	discard	agent-3 changed WARMUP_RATIO: 0.0 -> 0.0
r5-agent-1-i5	1.186871	1.9	keep	agent-1 changed EMBEDDING_LR: 0.6 -> 1.182418
r5-agent-2-i5	1.187073	1.9	keep	agent-2 changed SCALAR_LR: 0.5 -> 0.457347
r5-agent-3-i5	1.194004	1.9	discard	agent-3 changed MATRIX_LR: 0.04 -> 0.058803
r6-agent-1-i6	1.186105	1.9	keep	agent-1 changed WARMDOWN_RATIO: 0.5 -> 0.8
r6-agent-2-i6	1.186501	1.9	keep	agent-2 changed WARMUP_RATIO: 0.0 -> 0.0
r6-agent-3-i6	1.188559	1.9	discard	agent-3 changed EMBEDDING_LR: 0.6 -> 0.866968
r7-agent-1-i7	1.187994	1.9	discard	agent-1 changed WARMDOWN_RATIO: 0.8 -> 0.455563
r7-agent-2-i7	1.188887	1.9	discard	agent-2 changed SCALAR_LR: 0.457347 -> 0.542568
r7-agent-3-i7	1.189597	1.9	discard	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.002444
r8-agent-1-i8	1.190349	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.206563
r8-agent-2-i8	1.190107	1.9	discard	agent-2 changed SCALAR_LR: 0.457347 -> 0.505573
r8-agent-3-i8	1.188014	1.9	keep	agent-3 changed EMBEDDING_LR: 0.6 -> 0.40186
r9-agent-1-i9	1.190181	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.229051
r9-agent-2-i9	1.188845	1.9	discard	agent-2 changed MATRIX_LR: 0.037118 -> 0.031464
r9-agent-3-i9	1.189205	1.9	discard	agent-3 changed SCALAR_LR: 0.691154 -> 0.506
r10-agent-1-i10	1.185993	1.9	keep	agent-1 changed WARMDOWN_RATIO: 0.8 -> 0.8
r10-agent-2-i10	1.188688	1.9	discard	agent-2 changed WARMUP_RATIO: 0.0 -> 0.0
r10-agent-3-i10	1.186706	1.9	keep	agent-3 changed SCALAR_LR: 0.691154 -> 1.067747
r11-agent-1-i11	1.189612	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.91366
r11-agent-2-i11	1.189192	1.9	discard	agent-2 changed WARMUP_RATIO: 0.0 -> 0.0
r11-agent-3-i11	1.186712	1.9	discard	agent-3 changed WARMUP_RATIO: 0.0 -> 0.0
r12-agent-1-i12	1.193104	1.9	discard	agent-1 changed MATRIX_LR: 0.04 -> 0.016783
r12-agent-2-i12	1.189602	1.9	discard	agent-2 changed SCALAR_LR: 0.457347 -> 0.375229
r12-agent-3-i12	1.189627	1.9	discard	agent-3 changed SCALAR_LR: 1.067747 -> 0.802041
r13-agent-1-i13	1.190356	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 1.246605
r13-agent-2-i13	1.187219	1.9	discard	agent-2 changed WEIGHT_DECAY: 0.2 -> 0.175766
r13-agent-3-i13	1.189009	1.9	discard	agent-3 changed WARMDOWN_RATIO: 0.5 -> 0.336336
r14-agent-1-i14	1.188152	1.9	discard	agent-1 changed EMBEDDING_LR: 1.182418 -> 0.701089
r14-agent-2-i14	1.190146	1.9	discard	agent-2 changed EMBEDDING_LR: 0.523392 -> 0.473104
r14-agent-3-i14	1.188817	1.9	discard	agent-3 changed MATRIX_LR: 0.04 -> 0.026424
r15-agent-1-i15	1.190331	1.9	discard	agent-1 changed UNEMBEDDING_LR: 0.004 -> 0.009286
r15-agent-2-i15	1.190533	1.9	discard	agent-2 changed WEIGHT_DECAY: 0.2 -> 0.232156
r15-agent-3-i15	1.187215	1.9	discard	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.006284
r16-agent-1-i16	1.189124	1.9	discard	agent-1 changed UNEMBEDDING_LR: 0.004 -> 0.002032
r16-agent-2-i16	1.189009	1.9	discard	agent-2 changed SCALAR_LR: 0.457347 -> 0.496959
r16-agent-3-i16	1.190976	1.9	discard	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.003034
r17-agent-1-i17	1.196383	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.499308
r17-agent-2-i17	1.188890	1.9	discard	agent-2 changed SCALAR_LR: 0.457347 -> 0.521393
r17-agent-3-i17	1.189016	1.9	discard	agent-3 changed MATRIX_LR: 0.04 -> 0.024329
r18-agent-1-i18	1.186974	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.955613
r18-agent-2-i18	1.189037	1.9	discard	agent-2 changed EMBEDDING_LR: 0.523392 -> 0.619201
r18-agent-3-i18	1.191957	1.9	discard	agent-3 changed SCALAR_LR: 1.067747 -> 1.692601
r19-agent-1-i19	1.186385	1.9	discard	agent-1 changed EMBEDDING_LR: 1.182418 -> 2.0
r19-agent-2-i19	1.189285	1.9	discard	agent-2 changed SCALAR_LR: 0.457347 -> 0.396279
r19-agent-3-i19	1.190004	1.9	discard	agent-3 changed EMBEDDING_LR: 0.40186 -> 0.581099
r20-agent-1-i20	1.189181	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.264027
r20-agent-2-i20	1.189187	1.9	discard	agent-2 changed MATRIX_LR: 0.037118 -> 0.034568
r20-agent-3-i20	1.189251	1.9	discard	agent-3 changed MATRIX_LR: 0.04 -> 0.030801
r21-agent-1-i21	1.186076	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.0
r21-agent-2-i21	1.188260	1.9	discard	agent-2 changed MATRIX_LR: 0.037118 -> 0.031894
r21-agent-3-i21	1.191268	1.9	discard	agent-3 changed SCALAR_LR: 1.067747 -> 1.589169
r22-agent-1-i22	1.186276	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.103292
r22-agent-2-i22	1.188899	1.9	discard	agent-2 changed EMBEDDING_LR: 0.523392 -> 0.4755
r22-agent-3-i22	1.191431	1.9	discard	agent-3 changed MATRIX_LR: 0.04 -> 0.052551
r23-agent-1-i23	1.189268	1.9	discard	agent-1 changed UNEMBEDDING_LR: 0.004 -> 0.00217
r23-agent-2-i23	1.186585	1.9	discard	agent-2 changed MATRIX_LR: 0.037118 -> 0.034551
r23-agent-3-i23	1.187547	1.9	discard	agent-3 changed SCALAR_LR: 1.067747 -> 0.681611
r24-agent-1-i24	1.188545	1.9	discard	agent-1 changed WARMDOWN_RATIO: 0.8 -> 0.372108
r24-agent-2-i24	1.187565	1.9	discard	agent-2 changed UNEMBEDDING_LR: 0.004 -> 0.003425
r24-agent-3-i24	1.189793	1.9	discard	agent-3 changed EMBEDDING_LR: 0.40186 -> 0.546956
r25-agent-1-i25	1.188291	1.9	discard	agent-1 changed EMBEDDING_LR: 1.182418 -> 0.648611
r25-agent-2-i25	1.191021	1.9	discard	agent-2 changed WEIGHT_DECAY: 0.2 -> 0.213454
r25-agent-3-i25	1.193228	1.9	discard	agent-3 changed MATRIX_LR: 0.04 -> 0.058861
r26-agent-1-i26	1.188652	1.9	discard	agent-1 changed EMBEDDING_LR: 1.182418 -> 2.0
r26-agent-2-i26	1.189237	1.9	discard	agent-2 changed MATRIX_LR: 0.037118 -> 0.040794
r26-agent-3-i26	1.186080	1.9	keep	agent-3 changed UNEMBEDDING_LR: 0.004 -> 0.005763
r27-agent-1-i27	1.189394	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 1.026558
r27-agent-2-i27	1.186359	1.9	keep	agent-2 changed WARMDOWN_RATIO: 0.5 -> 0.592445
r27-agent-3-i27	1.188555	1.9	discard	agent-3 changed MATRIX_LR: 0.04 -> 0.025202
r28-agent-1-i28	1.189197	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.275172
r28-agent-2-i28	1.189340	1.9	discard	agent-2 changed WARMDOWN_RATIO: 0.592445 -> 0.53287
r28-agent-3-i28	1.185472	1.9	keep	agent-3 changed EMBEDDING_LR: 0.40186 -> 0.545852
r29-agent-1-i29	1.190412	1.9	discard	agent-1 changed MATRIX_LR: 0.04 -> 0.021792
r29-agent-2-i29	1.188412	1.9	discard	agent-2 changed UNEMBEDDING_LR: 0.004 -> 0.00467
r29-agent-3-i29	1.190206	1.9	discard	agent-3 changed EMBEDDING_LR: 0.545852 -> 0.801257
r30-agent-1-i30	1.198855	1.9	discard	agent-1 changed MATRIX_LR: 0.04 -> 0.099195
r1-agent-1-i1	1.194842	1.9	discard	agent-1 changed UNEMBEDDING_LR: 0.004 -> 0.02
r1-agent-2-i1	1.190441	1.9	discard	agent-2 changed MATRIX_LR: 0.04 -> 0.045
r1-agent-3-i1	1.188150	1.9	keep	agent-3 changed MATRIX_LR: 0.04 -> 0.035
r2-agent-1-i2	1.192827	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.15
r2-agent-2-i2	1.189607	1.9	discard	agent-2 changed MATRIX_LR: 0.04 -> 0.038
r2-agent-3-i2	1.187398	1.9	keep	agent-3 changed MATRIX_LR: 0.035 -> 0.032
r3-agent-1-i3	1.190964	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.1
r3-agent-2-i3	1.188524	1.9	keep	agent-2 changed MATRIX_LR: 0.04 -> 0.037
r3-agent-3-i3	1.187793	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.03
r4-agent-1-i4	1.188094	1.9	keep	agent-1 changed EMBEDDING_LR: 0.6 -> 2.0
r4-agent-2-i4	1.188414	1.9	keep	agent-2 changed MATRIX_LR: 0.037 -> 0.036
r4-agent-3-i4	1.188091	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.03
r5-agent-1-i5	1.189277	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r5-agent-2-i5	1.187949	1.9	keep	agent-2 changed MATRIX_LR: 0.036 -> 0.035
r5-agent-3-i5	1.188076	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.031
r6-agent-1-i6	1.188714	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r6-agent-2-i6	1.188631	1.9	discard	agent-2 changed MATRIX_LR: 0.035 -> 0.034
r6-agent-3-i6	1.188077	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.033
r7-agent-1-i7	1.191637	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.15
r7-agent-2-i7	1.187668	1.9	keep	agent-2 changed MATRIX_LR: 0.035 -> 0.033
r7-agent-3-i7	1.188395	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.031
r8-agent-1-i8	1.197198	1.9	discard	agent-1 changed UNEMBEDDING_LR: 0.004 -> 0.001
r8-agent-2-i8	1.187483	1.9	keep	agent-2 changed MATRIX_LR: 0.033 -> 0.032
r8-agent-3-i8	1.188194	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.0325
r9-agent-1-i9	1.197870	1.9	discard	agent-1 changed WARMDOWN_RATIO: 0.5 -> 0.2
r9-agent-2-i9	1.187837	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.0325
r9-agent-3-i9	1.187672	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.031
r10-agent-1-i10	1.188450	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r10-agent-2-i10	1.188690	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.034
r10-agent-3-i10	1.188338	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.034
r11-agent-1-i11	1.189052	1.9	discard	agent-1 changed SCALAR_LR: 0.5 -> 0.1
r11-agent-2-i11	1.187687	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.0315
r11-agent-3-i11	1.187676	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.03
r12-agent-1-i12	1.192280	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.15
r12-agent-2-i12	1.187504	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.0318
r12-agent-3-i12	1.187777	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.0305
r13-agent-1-i13	1.188879	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r13-agent-2-i13	1.187832	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.0315
r13-agent-3-i13	1.187622	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.031
r14-agent-1-i14	1.192931	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.15
r14-agent-2-i14	1.187769	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.0319
r14-agent-3-i14	1.187637	1.9	discard	agent-3 changed MATRIX_LR: 0.032 -> 0.03175
r15-agent-1-i15	1.195329	1.9	discard	agent-1 changed UNEMBEDDING_LR: 0.004 -> 0.02
r15-agent-2-i15	1.187797	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.0315
r15-agent-3-i15	1.187156	1.9	keep	agent-3 changed MATRIX_LR: 0.032 -> 0.0315
r16-agent-1-i16	1.194994	1.9	discard	agent-1 changed UNEMBEDDING_LR: 0.004 -> 0.02
r16-agent-2-i16	1.188088	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.03195
r16-agent-3-i16	1.187513	1.9	discard	agent-3 changed MATRIX_LR: 0.0315 -> 0.031
r17-agent-1-i17	1.192981	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.15
r17-agent-2-i17	1.188065	1.9	discard	agent-2 changed MATRIX_LR: 0.032 -> 0.03198
r17-agent-3-i17	1.186845	1.9	keep	agent-3 changed MATRIX_LR: 0.0315 -> 0.031
r18-agent-1-i18	1.191205	1.9	discard	agent-1 changed WARMUP_RATIO: 0.0 -> 0.1
r18-agent-2-i18	1.187345	1.9	keep	agent-2 changed MATRIX_LR: 0.032 -> 0.0315
r18-agent-3-i18	1.187984	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.03
r19-agent-1-i19	1.191223	1.9	discard	agent-1 changed EMBEDDING_LR: 2.0 -> 0.1
r19-agent-2-i19	1.187169	1.9	keep	agent-2 changed MATRIX_LR: 0.0315 -> 0.031
r19-agent-3-i19	1.187592	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.0305
r20-agent-1-i20	1.188719	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r20-agent-2-i20	1.188470	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.0309
r20-agent-3-i20	1.187801	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.029
r21-agent-1-i21	1.201629	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.5
r21-agent-2-i21	1.187410	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.0308
r21-agent-3-i21	1.188064	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.0305
r22-agent-1-i22	1.190902	1.9	discard	agent-1 changed EMBEDDING_LR: 2.0 -> 0.1
r22-agent-2-i22	1.187785	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.0309
r22-agent-3-i22	1.187667	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.03085
r23-agent-1-i23	1.190708	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r23-agent-2-i23	1.187902	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.03095
r23-agent-3-i23	1.188233	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.0305
r24-agent-1-i24	1.190382	1.9	discard	agent-1 changed EMBEDDING_LR: 2.0 -> 0.1
r24-agent-2-i24	1.187573	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.03095
r24-agent-3-i24	1.187987	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.0305
r25-agent-1-i25	1.189085	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r25-agent-2-i25	1.188190	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.03095
r25-agent-3-i25	1.188008	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.0305
r26-agent-1-i26	1.188963	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r26-agent-2-i26	1.187476	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.03098
r26-agent-3-i26	1.188293	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.03
r27-agent-1-i27	1.201220	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.5
r27-agent-2-i27	1.188396	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.03098
r27-agent-3-i27	1.187837	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.0305
r28-agent-1-i28	1.194639	1.9	discard	agent-1 changed WARMDOWN_RATIO: 0.5 -> 0.2
r28-agent-2-i28	1.188110	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.03099
r28-agent-3-i28	1.188474	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.0307
r29-agent-1-i29	1.189919	1.9	discard	agent-1 changed WEIGHT_DECAY: 0.2 -> 0.0
r29-agent-2-i29	1.188068	1.9	discard	agent-2 changed MATRIX_LR: 0.031 -> 0.03085
r29-agent-3-i29	1.188576	1.9	discard	agent-3 changed MATRIX_LR: 0.031 -> 0.0305
